Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Raphidioptera	Raphidiidae	Raphidia	Raphidia mediterranea
Raphidioptera	Raphidiidae	Phaeostigma	Phaeostigma divina
Raphidioptera	Raphidiidae	Puncha	Puncha ratzeburgi
Grylloblattodea	Grylloblattidae	Grylloblatta	Grylloblatta bifratrilecta
Orthoptera	Pyrgomorphidae	Dictyophorus	Dictyophorus griseus
Orthoptera	Pyrgomorphidae	Phymateus	Phymateus viridipes
Orthoptera	Pyrgomorphidae	Stenoscepa	Stenoscepa sp. AD-2015
Orthoptera	Pyrgomorphidae	Atractomorpha	Atractomorpha sp. AD-2015
Orthoptera	Gryllacrididae	Nippancistroger	Nippancistroger testaceus
Orthoptera	Tetrigidae	Tetrix	Tetrix subulata
Megaloptera	Corydalidae	Chauliodes	Chauliodes sp. AD-2015
Megaloptera	Corydalidae	Corydalus	Corydalus cornutus
Megaloptera	Sialidae	Sialis	Sialis lutaria
Plecoptera	Perlidae	Perla	Perla marginata
Siphonaptera	Ceratophyllidae	Ceratophyllus	Ceratophyllus gallinae
Psocoptera	Troctopsocidae	Thaipsocus	Thaipsocus sp. ThspTR
Psocoptera	Spurostigmatidae	Spurostigma	Spurostigma sp. SpspCL
Psocoptera	Lepidopsocidae	Lepium	Lepium sp. LpspLE
Psocoptera	Pseudocaeciliidae	Zelandopsocus	Zelandopsocus sp. ZespPS
Psocoptera	Pseudocaeciliidae	Mepleres	Mepleres sp. MpspPS
Psocoptera	Dolabellopsocidae	Dolabellopsocus	Dolabellopsocus sp. DospDO
Psocoptera	Hemipsocidae	Hemipsocus	Hemipsocus sp. HespHE
Psocoptera	Hemipsocidae	Hemipsocus	Hemipsocus pretiosus
Psocoptera	Epipsocidae	Goja	Goja eertmoedi
Psocoptera	Psilopsocidae	Psilopsocus	Psilopsocus sp. PsspPS
Psocoptera	Ptiloneuridae	Loneura	Loneura mombachensis
Psocoptera	Myopsocidae	Myopsocus	Myopsocus sp. MyspCAL
Psocoptera	Myopsocidae	Myopsocus	Myopsocus sp. MyspPER
Psocoptera	Myopsocidae	Lichenomima	Lichenomima sp. LispMY
Psocoptera	Myopsocidae	Lichenomima	Lichenomima lugens
Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus ocotensis
Psocoptera	Calopsocidae	Calopsocus	Calopsocus reticulatus
Psocoptera	Bryopsocidae	Bryopsocus	Bryopsocus townsendi
Psocoptera	Psoquillidae	Rhyopsocus	Rhyopsocus sp. RhspPQ
Psocoptera	Neurostigmatidae	Neurostigma	Neurostigma sp. NespNE
Psocoptera	Musapsocidae	Musapsocus	Musapsocus sp. MuspMU
Psocoptera	Electrentomidae	Epitroctes	Epitroctes sp. EpspEL
Psocoptera	Trichopsocidae	Trichopsocus	Trichopsocus clarus
Psocoptera	Elipsocidae	Nepiomorpha	Nepiomorpha sp. NespEL
Psocoptera	Elipsocidae	Kilauella	Kilauella sp. KispEL
Psocoptera	Elipsocidae	Propsocus	Propsocus pulchripennis
Psocoptera	Asiopsocidae	Asiopsocus	Asiopsocus sonorensis
Psocoptera	Psocidae	Trichadenotecnum	Trichadenotecnum majus
Psocoptera	Psocidae	Loensia	Loensia conspersa
Psocoptera	Prionoglarididae	Sensitibilla	Sensitibilla sp. SespPR
Psocoptera	Prionoglarididae	Afrotrogla	Afrotrogla sp. AfspPR
Psocoptera	Prionoglarididae	Prionoglaris	Prionoglaris stygia
Psocoptera	Prionoglarididae	Neotrogla	Neotrogla sp. NespPR
Psocoptera	Prionoglarididae	Speleketor	Speleketor irwini
Psocoptera	Philotarsidae	Philotarsus	Philotarsus kwakiutl
Psocoptera	Lachesillidae	Acantholachesilla	Acantholachesilla sp. AcspLA
Psocoptera	Lachesillidae	Notolachesilla	Notolachesilla sp. GRA1sp1LA
Psocoptera	Lachesillidae	Prolachesilla	Prolachesilla sp. GRAspLA
Psocoptera	Lachesillidae	Prolachesilla	Prolachesilla sp. GRA2sp1LA
Psocoptera	Lachesillidae	Prolachesilla	Prolachesilla sp. PrspLA
Psocoptera	Lachesillidae	Waoraniella	Waoraniella jarlinsoni
Psocoptera	Lachesillidae	Anomolachesilla	Anomolachesilla palaciosi
Psocoptera	Lachesillidae	Lachesilla	Lachesilla sp. Lasp7Q
Psocoptera	Lachesillidae	Lachesilla	Lachesilla sp. LaspMLY
Psocoptera	Lachesillidae	Lachesilla	Lachesilla sp. LaspGHN
Psocoptera	Lachesillidae	Lachesilla	Lachesilla punctata
Psocoptera	Lachesillidae	Lachesilla	Lachesilla texcocana
Psocoptera	Lachesillidae	Lachesilla	Lachesilla rufa
Psocoptera	Lachesillidae	Lachesilla	Lachesilla picticeps
Psocoptera	Lachesillidae	Lachesilla	Lachesilla pedicularia
Psocoptera	Lachesillidae	Anomopsocus	Anomopsocus sp. AnspLA
Psocoptera	Lachesillidae	Anomopsocus	Anomopsocus amabilis
Psocoptera	Lachesillidae	Eolachesilla	Eolachesilla chilensis
Psocoptera	Ectopsocidae	Ectopsocopsis	Ectopsocopsis cryptomeriae
Psocoptera	Pachytroctidae	Tapinella	Tapinella sp. TaspPA
Psocoptera	Pachytroctidae	Peritroctes	Peritroctes sp. PespPA
Psocoptera	Pachytroctidae	Pachytroctes	Pachytroctes maculosus
Psocoptera	Sphaeropsocidae	Sphaeropsocus	Sphaeropsocus bicolor
Psocoptera	Sphaeropsocidae	Hemicaecilius	Hemicaecilius smithersi
Psocoptera	Sphaeropsocidae	Hemicaecilius	Hemicaecilius mockfordi
Psocoptera	Sphaeropsocidae	Graphocaecilius	Graphocaecilius interpretatus
Psocoptera	Sphaeropsocidae	Dagualachesilloides	Dagualachesilloides caliensis
Psocoptera	Sphaeropsocidae	Dagualachesilla	Dagualachesilla anchicayaensis
